username,content
umaradamibrahim," background-generator None CSS HTML JavaScript cv my cv HTML freecode freecodecamp  hausacorpus This contain free large scale Hausa Corpus that can used for Automatic Speech recognition  language.ai This website is for collecting Hausa Speech corpus from the public member. When you contribute voice recordings, We will use your recordings and related information to create and develop speech technology for the Hausa language CSS HTML lecture0 None HTML"
Kuber07, Inventory-Management-System This repository have code of Inventory Management System. Jupyter Notebook IPL-win-probability-predictor None Jupyter Notebook Python Shell Kuber007 None HTML JavaScript CSS KuberHTML My repository HTML CSS solutions None JavaScript HTML SPARK-foundation-task None Jupyter Notebook Summer-Olympics-Data-analysis In this we analyse the data collected during olympics . Jupyter Notebook
MDVasu, AP050_Regional_Finals None Python Jupyter Notebook C++ Shell MDVasu_profile Config files for my GitHub profile. 
Sajinaaron07, git None HTML Python Procfile kac-portfolio Kac's portfolio website HTML CSS JavaScript SCSS Python Procfile taskmaster None  Test None Python HTML
AyaMohammedAli, anyAndAll None Jupyter Notebook arithmaticexamapplication arithmatic exam application Python HTML AyaMohammedAli None  BillSplitter Bill Splitter Python HTML BillSplitterData None Jupyter Notebook Chocolate-Bars-Data-Analysis None Jupyter Notebook CoffeeMachine Coffee Machine HTML Python countOccurance None Jupyter Notebook CurrencyConverter2 Currency Converter2 HTML Python DataAnalysisforHospitals Data Analysis for Hospitals Python Cython C HTML TeX JavaScript PowerShell Jupyter Notebook Fortran CSS Smarty MATLAB Batchfile XSLT Makefile datacamp None Jupyter Notebook datacampCourses None Jupyter Notebook DataCampProjects None Jupyter Notebook datcampProject None Jupyter Notebook DuplicateFileHandler Duplicate File Handler2 Python EasyRidBusCompany Easy Rider Bus Company Python HTML function None Jupyter Notebook FwdProfessionalDataProjects None Jupyter Notebook Python hackerrankSolutions None  HakerRankPythonSolutions None  Hangman Hangman Python Import-Data-In-Python None Jupyter Notebook Investigating-Guest-Stars-in-The-Office- None Jupyter Notebook Machine-Learning-Concepts Machine Learning Concepts Jupyter Notebook
PKPrasantaBehera, BankNoteAuthentication None Jupyter Notebook Python Bike-Sharing-Demand None Jupyter Notebook Python Emotion-Prediction None CSS Python HTML Procfile Heart-Failuer-Prediction None Jupyter Notebook HTML Python CSS Procfile IrisFlowerClassification None Jupyter Notebook Python multiple_desease_web_app None Python Stroke_Prediction_Web_App_Project None Jupyter Notebook Python
Bharathwaj829,
ashok49473," age_prediction_abalone A machine learning web app to predict the age of abalone Jupyter Notebook HTML Python CSS ap050-smart-and-sustainable-agriculture A smart system for agriculture to achieve sustainability and obtain high yields to farmers. Python Jupyter Notebook C++ Shell ashok49473 Config files for my GitHub profile.  car-price-prediction A machine learning web application which predicts the selling price of a used car. Jupyter Notebook HTML Python CSS Dockerfile Competitions Hackathons and AI challenges that I've participated in. Jupyter Notebook CRUD-django A Django Project to perform CRUD operations Python Developer-Salary-Prediction A web application to predict the salary of a developer based on his/her experience, country and other features. Jupyter Notebook Python fpgi-crop-recommendation-api1 None Python heart-failure-prediction None Jupyter Notebook HTML Python CSS Procfile HousePricePrediction A project in hands on ml book Jupyter Notebook images None  malaria-detection A machine learning web application to detect the malaria infection in the given cell image. Jupyter Notebook HTML CSS Python movie-recommendation-system Content-Based Recommender System - Recommends movies similar to the movie searched  by the user Jupyter Notebook Python Shell Procfile plant-disease-classifier A web application to predict the disease in an infected potato plant using it's leaf and Convolutional Neural Networks. Jupyter Notebook HTML Python CSS real-time-hand-gesture-recognition None Jupyter Notebook Python sentiment-classifier-amazon-food A machine learning web application to predict whether the given amazon's fine food review is positive or negative. Jupyter Notebook Python HTML Procfile stroke-prediction-app A web application to predict the chances of getting a stroke by a patient based on other health factors like hypertension, Smoking habit, etc. Jupyter Notebook HTML Python CSS"
solegalli, DataTalks.Club2022 None Jupyter Notebook feature-engineering-for-machine-learning Code repository for the online course Feature Engineering for Machine Learning Jupyter Notebook feature-selection-for-machine-learning Code repository for the online course Feature Selection for Machine Learning Jupyter Notebook feature-selection-in-machine-learning-book Code repository for the book feature selection in machine learning Jupyter Notebook feature-selection-with-feature-engine-book Code repository for the book Feature engineering with Feature-engine Jupyter Notebook hyperparameter-optimization Code repository for the online course Hyperparameter Optimization for Machine Learning Jupyter Notebook ingenieria-de-variables None Jupyter Notebook machine-learning-imbalanced-data Code repository for the online course Machine Learning with Imbalanced Data Jupyter Notebook Python packt_featureengineering_cookbook None Jupyter Notebook playground Repo for testing new tools and techniques Jupyter Notebook solegalli None  udemy-feml-challenge None Jupyter Notebook udemy-ivml-desafio None Jupyter Notebook
rasarab," Auto-Image-Download-Google None  bc-wptheme  Brilliant Coding Alpha, a hackable Boostrap 4 theme for Wordpress CSS PHP JavaScript PowerShell Block-Google-and-Bots It is as important as including your pages in SERP to prevent some pages from listing from SERPs. Specially when you are a web development company and want to demo your clients with site status on your demo server "
